geo,time,hpi
Hungary,2022-Q3,262.98
Hungary,2022-Q4,258.43
Hungary,2023-Q1,268.81
Hungary,2023-Q2,271.54
Hungary,2023-Q3,272.63
Hungary,2023-Q4,277.19
Hungary,2024-Q1,300.99
Hungary,2024-Q2,306.51
Hungary,2024-Q3,309.83
Hungary,2024-Q4,322.11
Hungary,2025-Q1,352.26
Hungary,2025-Q2,363.76
Hungary,2025-Q3,375.19
Ireland,2015-Q1,96.43
Ireland,2015-Q2,98.6
Ireland,2015-Q3,101.73
Ireland,2015-Q4,103.25
Ireland,2016-Q1,103.67
Ireland,2016-Q2,104.79
Ireland,2016-Q3,109.33
Ireland,2016-Q4,112.06
Ireland,2017-Q1,113.36
Ireland,2017-Q2,115.86
Ireland,2017-Q3,122.18
Ireland,2017-Q4,125.15
Ireland,2018-Q1,127.34
Ireland,2018-Q2,130.44
Ireland,2018-Q3,133.31
Ireland,2018-Q4,134.23
Ireland,2019-Q1,132.98
Ireland,2019-Q2,133.7
Ireland,2019-Q3,135.63
Ireland,2019-Q4,135.32
Ireland,2020-Q1,134.3
Ireland,2020-Q2,134.15
Ireland,2020-Q3,134.55
Ireland,2020-Q4,136.28
Ireland,2021-Q1,138.34
Ireland,2021-Q2,141.65
Ireland,2021-Q3,148.81
Ireland,2021-Q4,155.1
Ireland,2022-Q1,159.07
Ireland,2022-Q2,161.89
Ireland,2022-Q3,166.47
Ireland,2022-Q4,168.41
Ireland,2023-Q1,167.16
Ireland,2023-Q2,166.3
Ireland,2023-Q3,168.79
Ireland,2023-Q4,173.69
Ireland,2024-Q1,177.7
Ireland,2024-Q2,180.34
Ireland,2024-Q3,185.5
Ireland,2024-Q4,189.97
Ireland,2025-Q1,191.83
Ireland,2025-Q2,194.34
Ireland,2025-Q3,199.46
Italy,2015-Q1,99.7
Italy,2015-Q2,99.8
Italy,2015-Q3,100.7
Italy,2015-Q4,99.8
Italy,2016-Q1,99.8
Italy,2016-Q2,100.5
Italy,2016-Q3,100.7
Italy,2016-Q4,100.0
Italy,2017-Q1,99.1
Italy,2017-Q2,99.6
Italy,2017-Q3,99.2
Italy,2017-Q4,98.8
Italy,2018-Q1,98.6
Italy,2018-Q2,99.2
Italy,2018-Q3,98.4
Italy,2018-Q4,98.3
Italy,2019-Q1,97.7
Italy,2019-Q2,99.1
Italy,2019-Q3,98.8
Italy,2019-Q4,98.5
Italy,2020-Q1,99.4
Italy,2020-Q2,102.4
Italy,2020-Q3,99.8
Italy,2020-Q4,100.0
Italy,2021-Q1,101.1
Italy,2021-Q2,102.8
Italy,2021-Q3,103.9
Italy,2021-Q4,104.0
Italy,2022-Q1,105.7
Italy,2022-Q2,108.1
Italy,2022-Q3,106.9
Italy,2022-Q4,106.8
Italy,2023-Q1,106.8
Italy,2023-Q2,108.8
Italy,2023-Q3,108.7
Italy,2023-Q4,108.7
Italy,2024-Q1,108.5
Italy,2024-Q2,112.0
Italy,2024-Q3,112.8
Italy,2024-Q4,113.5
Italy,2025-Q1,113.3
Italy,2025-Q2,116.4
Italy,2025-Q3,117.1
Lithuania,2015-Q1,97.49
Lithuania,2015-Q2,100.49
Lithuania,2015-Q3,102.07
Lithuania,2015-Q4,99.95
Lithuania,2016-Q1,100.78
Lithuania,2016-Q2,103.91
Lithuania,2016-Q3,107.48
Lithuania,2016-Q4,109.43
Lithuania,2017-Q1,111.07
Lithuania,2017-Q2,114.52
Lithuania,2017-Q3,116.66
Lithuania,2017-Q4,116.94
Lithuania,2018-Q1,119.78
Lithuania,2018-Q2,123.0
Lithuania,2018-Q3,124.35
Lithuania,2018-Q4,125.59
Lithuania,2019-Q1,129.2
Lithuania,2019-Q2,131.11
Lithuania,2019-Q3,132.36
Lithuania,2019-Q4,133.77
Lithuania,2020-Q1,137.26
Lithuania,2020-Q2,140.25
Lithuania,2020-Q3,140.85
Lithuania,2020-Q4,146.35
Lithuania,2021-Q1,153.69
Lithuania,2021-Q2,158.87
Lithuania,2021-Q3,167.44
Lithuania,2021-Q4,175.36
Lithuania,2022-Q1,183.12
Lithuania,2022-Q2,193.91
Lithuania,2022-Q3,199.7
Lithuania,2022-Q4,203.46
Lithuania,2023-Q1,207.18
Lithuania,2023-Q2,212.05
Lithuania,2023-Q3,217.15
Lithuania,2023-Q4,220.4
Lithuania,2024-Q1,227.7
Lithuania,2024-Q2,234.01
Lithuania,2024-Q3,236.4
Lithuania,2024-Q4,241.98
Lithuania,2025-Q1,247.69
Lithuania,2025-Q2,254.53
Lithuania,2025-Q3,262.01
Luxembourg,2015-Q1,97.8
Luxembourg,2015-Q2,99.87
Luxembourg,2015-Q3,101.27
Luxembourg,2015-Q4,101.06
Luxembourg,2016-Q1,102.64
Luxembourg,2016-Q2,105.44
Luxembourg,2016-Q3,107.02
Luxembourg,2016-Q4,108.92
Luxembourg,2017-Q1,109.84
Luxembourg,2017-Q2,112.21
